127.0.0.1, 2015-04-12 18:48:39, GET, /admin/default/ticket/SUTBackoffice/127.0.0.1.2015-04-12.18-47-44.9c333c1f-dcc0-4186-8299-3281b7cd0538, HTTP/1.1, 200, 0.043342
127.0.0.1, 2015-04-12 18:48:39, GET, /admin/static/_2.10.3/css/calendar.css, HTTP/1.1, 304, 0.000840
127.0.0.1, 2015-04-12 18:48:39, GET, /admin/static/_2.10.3/js/jquery.js, HTTP/1.1, 304, 0.000902
127.0.0.1, 2015-04-12 18:48:39, GET, /admin/static/_2.10.3/js/calendar.js, HTTP/1.1, 304, 0.000440
127.0.0.1, 2015-04-12 18:48:39, GET, /admin/static/_2.10.3/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.000608
127.0.0.1, 2015-04-12 18:48:39, GET, /admin/static/_2.10.3/js/web2py.js, HTTP/1.1, 304, 0.000819
127.0.0.1, 2015-04-12 18:48:39, GET, /admin/static/_2.10.3/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 304, 0.000690
127.0.0.1, 2015-04-12 18:48:39, GET, /admin/static/_2.10.3/plugin_multiselect/start.js, HTTP/1.1, 304, 0.001631
127.0.0.1, 2015-04-12 18:48:39, GET, /admin/static/_2.10.3/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.002355
127.0.0.1, 2015-04-12 18:48:39, GET, /admin/static/_2.10.3/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 304, 0.001111
127.0.0.1, 2015-04-12 18:48:39, GET, /admin/static/_2.10.3/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.000593
127.0.0.1, 2015-04-12 18:48:39, GET, /admin/static/_2.10.3/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000753
127.0.0.1, 2015-04-12 18:48:39, GET, /admin/static/_2.10.3/css/bootstrap.min.css, HTTP/1.1, 304, 0.001861
127.0.0.1, 2015-04-12 18:48:39, GET, /admin/static/_2.10.3/js/bootstrap.min.js, HTTP/1.1, 304, 0.000430
127.0.0.1, 2015-04-12 18:48:39, GET, /admin/static/_2.10.3/images/help.png, HTTP/1.1, 304, 0.000348
127.0.0.1, 2015-04-12 18:48:40, GET, /SUTBackoffice/default/index, HTTP/1.1, 200, 0.014915
127.0.0.1, 2015-04-12 18:48:40, GET, /SUTBackoffice/default/dist/css/skins/skin-red.min.css, HTTP/1.1, 404, 0.028430
127.0.0.1, 2015-04-12 18:48:40, GET, /SUTBackoffice/default/bootstrap/css/bootstrap.min.css, HTTP/1.1, 404, 0.033463
127.0.0.1, 2015-04-12 18:48:40, GET, /SUTBackoffice/default/dist/css/AdminLTE.min.css, HTTP/1.1, 404, 0.035697
127.0.0.1, 2015-04-12 18:48:41, GET, /SUTBackoffice/default/bootstrap/js/bootstrap.min.js, HTTP/1.1, 404, 0.025037
127.0.0.1, 2015-04-12 18:48:41, GET, /SUTBackoffice/default/plugins/jQuery/jQuery-2.1.3.min.js, HTTP/1.1, 404, 0.029104
127.0.0.1, 2015-04-12 18:48:41, GET, /SUTBackoffice/default/dist/js/app.min.js, HTTP/1.1, 404, 0.029490
127.0.0.1, 2015-04-12 18:48:41, GET, /SUTBackoffice/default/bootstrap/js/bootstrap.min.js, HTTP/1.1, 404, 0.007248
127.0.0.1, 2015-04-12 18:48:41, GET, /SUTBackoffice/default/dist/js/app.min.js, HTTP/1.1, 404, 0.014195
127.0.0.1, 2015-04-12 18:49:31, GET, /SUTBackoffice/default/index, HTTP/1.1, 200, 0.018816
127.0.0.1, 2015-04-12 18:49:31, GET, /SUTBackoffice/default/dist/css/skins/skin-red.min.css, HTTP/1.1, 404, 0.019628
127.0.0.1, 2015-04-12 18:49:31, GET, /SUTBackoffice/default/bootstrap/css/bootstrap.min.css, HTTP/1.1, 404, 0.024263
127.0.0.1, 2015-04-12 18:49:31, GET, /SUTBackoffice/default/dist/css/AdminLTE.min.css, HTTP/1.1, 404, 0.024255
127.0.0.1, 2015-04-12 18:49:31, GET, /SUTBackoffice/default/dist/js/app.min.js, HTTP/1.1, 404, 0.030756
127.0.0.1, 2015-04-12 18:49:31, GET, /SUTBackoffice/default/plugins/jQuery/jQuery-2.1.3.min.js, HTTP/1.1, 404, 0.032014
127.0.0.1, 2015-04-12 18:49:31, GET, /SUTBackoffice/default/bootstrap/js/bootstrap.min.js, HTTP/1.1, 404, 0.034000
127.0.0.1, 2015-04-12 18:49:31, GET, /SUTBackoffice/default/dist/js/app.min.js, HTTP/1.1, 404, 0.010362
127.0.0.1, 2015-04-12 18:49:31, GET, /SUTBackoffice/default/index, HTTP/1.1, 200, 0.016446
127.0.0.1, 2015-04-12 18:49:31, GET, /SUTBackoffice/default/dist/css/skins/skin-red.min.css, HTTP/1.1, 404, 0.018778
127.0.0.1, 2015-04-12 18:49:31, GET, /SUTBackoffice/default/bootstrap/css/bootstrap.min.css, HTTP/1.1, 404, 0.023842
